institute,driving_model,experiment,ensemble,rcm_name,rcm_version,time_frequency,variable
KNMI,ICHEC-EC-EARTH,rcp85,r3i1p1,RACMO22E,v1,day,tasmin
DMI,ICHEC-EC-EARTH,historical,r1i1p1,HIRHAM5,v1,day,tasmin
DMI,ICHEC-EC-EARTH,historical,r1i1p1,HIRHAM5,v1,day,tas
DMI,ICHEC-EC-EARTH,rcp85,r1i1p1,HIRHAM5,v1,day,pr
DMI,ICHEC-EC-EARTH,rcp85,r1i1p1,HIRHAM5,v1,day,tasmax
KNMI,ICHEC-EC-EARTH,rcp85,r3i1p1,RACMO22E,v1,day,pr
KNMI,ICHEC-EC-EARTH,historical,r3i1p1,RACMO22E,v1,day,pr
DMI,ICHEC-EC-EARTH,historical,r1i1p1,HIRHAM5,v1,day,tasmax
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,day,tasmin
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,day,tasmax
DMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,HIRHAM5,v1,day,pr
DMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,HIRHAM5,v2,day,tasmax
DMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,HIRHAM5,v2,day,tasmin
DMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,HIRHAM5,v1,day,tas
DMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,HIRHAM5,v1,day,pr
DMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,HIRHAM5,v1,day,tas
DMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,HIRHAM5,v1,day,tasmin
DMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,HIRHAM5,v1,day,tasmax
DMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,HIRHAM5,v1,day,tasmax
DMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,HIRHAM5,v1,day,tasmin
DMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,HIRHAM5,v2,day,pr
DMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,HIRHAM5,v2,day,tasmax
DMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,HIRHAM5,v2,day,tasmin
DMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,HIRHAM5,v2,day,pr
DMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,HIRHAM5,v2,day,tas
