institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,huss,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,clh,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,rsus,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,clm,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,rlds,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,historical,r12i1p1,RACMO22E,v1,ts,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,rlds,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,snc,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,cll,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,snw,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,rsus,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,clm,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,rsds,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,ts,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,hfss,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,hfls,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,clh,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,huss,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,rlus,KNMI-RACMO22E
KNMI,ICHEC-EC-EARTH,rcp85,r12i1p1,RACMO22E,v1,clt,KNMI-RACMO22E
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,rsds,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,ts,GERICS-REMO2015
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,hfss,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,rlus,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,snw,GERICS-REMO2015
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,huss,GERICS-REMO2015
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,rlus,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,rsds,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,huss,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,rlus,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,snw,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,clt,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,hfls,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,rlds,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,hfss,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,rsus,GERICS-REMO2015
GERICS,NCC-NorESM1-M,historical,r1i1p1,REMO2015,v1,ts,GERICS-REMO2015
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,snw,GERICS-REMO2015
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,ts,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,hfls,GERICS-REMO2015
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,rsus,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,rlds,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,rsus,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,rsds,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,hfss,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,huss,GERICS-REMO2015
GERICS,IPSL-IPSL-CM5A-LR,historical,r1i1p1,REMO2015,v1,clt,GERICS-REMO2015
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,hfls,GERICS-REMO2015
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,rlds,GERICS-REMO2015
GERICS,NOAA-GFDL-GFDL-ESM2G,historical,r1i1p1,REMO2015,v1,clt,GERICS-REMO2015
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,cll,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,rsds,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,snc,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,rsus,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,rlds,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,ts,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,rlus,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,huss,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,hfls,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,hfss,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,snc,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,cll,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,clm,DMI-HIRHAM5
