institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,tasminAdjust,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp45,r1i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,tasminAdjust,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,tasAdjust,SMHI-RCA4
SMHI,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,RCA4,v1-SMHI-DBS45-MESAN-1989-2010,prAdjust,SMHI-RCA4
CLMcom,ICHEC-EC-EARTH,rcp45,r12i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,tasmaxAdjust,CLMcom-CCLM4-8-17
CLMcom,ICHEC-EC-EARTH,rcp45,r12i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,tasminAdjust,CLMcom-CCLM4-8-17
CLMcom,ICHEC-EC-EARTH,rcp45,r12i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,tasAdjust,CLMcom-CCLM4-8-17
CLMcom,ICHEC-EC-EARTH,rcp45,r12i1p1,CCLM4-8-17,v1-SMHI-DBS45-MESAN-1989-2010,prAdjust,CLMcom-CCLM4-8-17
CLMcom,ICHEC-EC-EARTH,rcp45,r12i1p1,CCLM4-8-17,v1-METNO-QMAP-MESAN-1989-2010,prAdjust,CLMcom-CCLM4-8-17
CLMcom,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,CCLM4-8-17,v1-SMHI-DBS45-MESAN-1989-2010,tasmaxAdjust,CLMcom-CCLM4-8-17
CLMcom,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,CCLM4-8-17,v1-SMHI-DBS45-MESAN-1989-2010,tasminAdjust,CLMcom-CCLM4-8-17
